sample_name,sample_height,sample_facies,sample_features,clast_len_cm,clast_width_cm,min_drildist_from_matrix_mm,d13c_carb,d18o_carb
C16_111.0_ICT_13,111,limestone cemented sandstone,,,,,-7.809978962,-18.8997612
C16_111.0_ICT_14,111,sandy limestone,,,,,-7.744503975,-19.97164536
C16_111.0_ICT_15,111,sandy limestone,,,,,-7.922127724,-19.70783615
C16_111.0_ICT_16,111,limestone cemented sandstone,,,,,-8.200615883,-19.28483963
C16_111.0_ICT_17,111,tan sandy limestone,,,,,-5.999377728,-20.30560875
C16_111.0_ICT_18,111,grey crystalline limestone,,,,,-8.294354439,-18.89090347
C16_111.0_ICT_19,111,grey crystalline limestone,,,,,-7.663799763,-21.06690979
C16_111.0_ICT_20,111,dark grey grainstone,,,,,-7.87802124,-20.0467453
C16_111.0_ICT_21,111,grey crystalline limestone,,,,,-7.976626396,-18.75649834
C16_111.0_ICT_22,111,sandy limestone,,,,,-7.953784943,-19.75197601
C16_111.0_ICT_23,111,sandy limestone,,,,,-8.028739929,-18.99969292
C16_111.0_ICT_24,111,dark grey grainstone,,,,,-7.939668655,-20.16358376
C16_111.0_ICT_25,111,tan crystalline limestone,,,,,-7.282249451,-20.556633
C16_111.0_ICT_26,111,sandy limestone,,,,,-2.338377714,-20.25999832
C16_111.0_ICT_27,111,grey crystalline limestone,,,,,-7.699086189,-20.10523796
C16_111.0_ICT_28,111,grey crystalline limestone,,,,,-8.228687286,-19.28107071
C16_111.0_ICT_29,111,sandy limestone,,,,,-6.750633717,-22.42490578
C16_111.0_ICT_30,111,dark grey grainstone,,,,,-8.020927429,-20.41248131
C16_136.0_ICT_1,136,sandy limestone,,20,9,,0.055449486,-18.1981163
C16_136.0_ICT_2,136,grey crystalline limestone,,15,8,,-6.266926765,-15.55035973
C16_136.0_ICT_3,136,sandy limestone,,34,10,,-1.872446299,-18.45941353
C16_136.0_ICT_4,136,grey crystalline limestone,,7,7,,-4.652349949,-16.55318451
C16_136.0_ICT_5,136,grey crystalline limestone,,13,4,,-0.620068073,-18.17496681
C16_136.0_ICT_6,136,tan crystalline limestone,,12,10,,-6.726626873,-17.55377769
C16_136.0_ICT_7,136,sandy limestone,,25,8,,-3.234695435,-18.39104271
C16_136.0_ICT_8,136,sandy limestone,,13,7,,2.428134918,-18.22327423
C16_136.0_ICT_9,136,sandy limestone,,51,11,,-5.332342625,-18.17623138
C16_136.0_ICT_10,136,sandy limestone,,14,5,,-1.294946909,-18.21626472
C16_136.0_ICT_11,136,silty limestone,,8,6,,-1.945687056,-16.59285164
C16_136.0_ICT_12,136,sandy limestone,,13,6,,-2.062058926,-18.04918671
C16_136.0_ICT_13,136,ls mudstone,,10,7,,-2.461041689,-18.20179176
C16_136.0_ICT_14,136,sandy limestone,,6,4,,-6.847757339,-18.07583618
C16_136.0_ICT_15,136,tan crystalline limestone,,13,5,,-7.003554821,-18.30013657
C16_136.0_ICT_16,136,silty limestone,,22,4,,-5.663838863,-18.94135284
C16_136.0_ICT_17,136,sandy limestone,,5,5,,-5.780639648,-18.23462868
C16_136.0_ICT_18,136,tan sandy limestone,,4,2,,-5.120261669,-16.58493423
C16_136.0_ICT_19,136,ls mudstone,,13,5,,-5.619931698,-18.33688927
C16_136.0_ICT_20,136,grey crystalline limestone,,6,4,,-6.249563217,-18.39875031
C16_136.0_ICT_21,136,grey crystalline limestone,,13,4,,-0.567856312,-20.73140335
C16_136.0_ICT_22,136,sandy limestone,,41,21,,-5.65575552,-18.37087059
C16_136.0_ICT_23,136,dolostone,,11,4,,-2.21693635,-9.817889214
