,index,member,thickness,lithology,facies,grade,features,sample_name,sample_height,sample_facies,sample_features,facies_simplified,sample_facies_simplified,trace_facies_simplified,sample_lith,trace_facies,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa,sample_height_scaled
86,Temple Lake,TLM,,,,,,C8_125.1,125.1,green crystalline limestone,,,crystalline limestone,,ls,,-8.152258873,-15.01178265,,,,,,,,,,,,,131.9
87,Temple Lake,TLM,,,,,,C8_126.1,126.1,green crystalline limestone,,,crystalline limestone,,ls,,-8.065942764,-15.19406128,,,,,,,,,,,,,132.9
88,Temple Lake,TLM,,,,,,C8_127.1,127.1,green crystalline limestone,,,crystalline limestone,,ls,,-7.882169724,-14.8342371,,,,,,,,,,,,,133.9
89,Temple Lake,TLM,,,,,,C8_128.1,128.1,green crystalline limestone,,,crystalline limestone,crystalline limestone,ls,green crystalline limestone,-7.822883606,-14.91936302,12.51654993,0.429312983,11.25496789,0.104271529,0.542085583,-0.018225651,3.260000135,0.324948385,0.93581598,0.327869378,0.002695549,0.506169233,134.9
90,Temple Lake,TLM,,,,,,C8_129.1,129.1,green crystalline limestone,,,crystalline limestone,,ls,,-8.015338898,-15.13580608,,,,,,,,,,,,,135.9
91,Temple Lake,TLM,,,,,,C8_130.1,130.1,green crystalline limestone,,,crystalline limestone,,ls,,-9.081008911,-15.19088364,,,,,,,,,,,,,136.9
92,Wolverine,TLM,12.6,siliciclastic,mudstone[sandstone],,,C13_96.4,96.4,sandy crystalline limestone with microcrystalline dolomite,,mudstone,sandy dolostone,sandy dolostone,dol,sandy crystalline limestone with microcrystalline dolomite,-11.88236046,-14.77553558,27.43204182,2.874554419,13.4191449,0.602456613,-0.506767853,0.245535909,15.72848552,1.736167281,0.581379382,0.412875477,0.049431283,0.52702517,54.78
93,Wolverine,TLM,7.0,cover,cover,,,C13_96.5,96.5,sandy crystalline limestone ribbonite,,cover,ls mudstone,ls mudstone,ls,sandy crystalline limestone ribbonite,-12.1254425,-14.80136585,34.8458856,2.689073101,14.53599583,0.712523105,0.187596465,0.02465012,14.96645149,2.215015589,0.039590197,0.560101368,0.028882572,0.459321449,54.92499999999998
94,Wolverine,TLM,14.0,siliciclastic,mudstone[sandstone],,,C13_96.6,96.6,sandy crystalline limestone ribbonite,,mudstone,ls mudstone,ls mudstone,ls,sandy crystalline limestone ribbonite,-11.89342976,-14.76557732,23.97718082,2.421824503,12.41700164,0.56935271,0.145536611,0.098974563,11.81467935,1.502848498,0.037448075,0.499663975,0.01603917,0.417364061,55.06999999999999
95,Wolverine,TLM,62.5,siliciclastic,purple siltstone[sandstone],,green redox laminations,C13_97.0,97.0,sandy crystalline limestone,,siltstone,sandy limestone,sandy limestone,sandy ls,sandy crystalline limestone,-12.11106014,-15.38822269,9.242734309,1.708957192,11.5625414,0.406335664,0.285205065,0.588246956,12.31125773,1.076326404,0.059673164,0.531968779,0.053624828,0.725902158,55.650000000000006
96,Wolverine,TLM,0.25,limestone,carbonate breccia,,ICT,C13_108.8,108.8,grey laminated crystalline limestone,,carbonate breccia,crystalline limestone,crystalline limestone,ls,grey laminated crystalline limestone,-12.59484482,-16.17363167,66.48167524,9.584863021,15.0111225,2.084677458,3.829234994,0.609068427,24.2763,3.627708162,0.983037555,0.803224377,0.474862371,0.203181546,72.75999999999999
97,Wolverine,TLM,0.85,limestone,purple siltstone[intraclast carbonate breccia],,ICT,C13_111.5,111.5,sandy grainstone,,siltstone-intraclast carbonate breccia couplets,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-11.29035187,-16.04961967,210.7654015,20.00905313,33.34295368,15.05880671,59.76799651,0.590821369,23.20845497,37.87543497,79.97081682,1.039982972,1.968709592,0.669501236,76.67499999999998
98,Wolverine,TLM,26.9,limestone,purple siltstone[silty grainstone],,,C13_111.8,111.8,sandy pink crystalline limestone,,silty limestone,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-12.4971714,-16.38692474,50.63387684,9.737223226,23.50951261,2.481114475,2.542905344,1.509397766,24.15257982,3.201859193,0.614288963,0.680553882,0.378523263,0.702936033,77.10999999999999
99,Wolverine,TLM,0.5,limestone,carbonate breccia,,ICT,C13_112.1,112.1,sandy pink crystalline limestone,,carbonate breccia,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-12.16679192,-16.0504303,37.31615155,8.602311603,13.55433904,2.064032461,4.026636525,33.96965614,27.19077961,1.975197746,1.02131087,0.609044939,0.200659585,7.14226097,77.54499999999999
100,Wolverine,TLM,4.3,limestone,purple siltstone[silty grainstone],,,C13_112.6,112.6,sandy grey laminated crystalline limestone,,silty limestone,sandy limestone,sandy limestone,sandy ls,sandy grey laminated crystalline limestone,-10.31417084,-15.05315685,235.0428453,13.92935607,30.75741517,16.24000316,22.85076025,3.803896453,21.05794193,1.364176163,5.166360399,1.933594824,3.55551269,1.034389169,78.26999999999998
101,Wolverine,TLM,0.7,limestone,purple siltstone – grainstone ribbonite,,ribbonite,C13_113.4,113.4,sandy grey laminated crystalline limestone,,limestone-siltstone rhythmite,sandy limestone,sandy limestone,sandy ls,sandy grey laminated crystalline limestone,-11.9162178,-15.78307343,25.46326001,11.20140792,17.55208294,1.893194989,1.402080668,0.037129044,31.47392205,1.345701711,0.335777064,0.607269951,0.336399172,0.176174868,79.43
102,Wolverine,TLM,1.5,siliciclastic,green siltstone,,,C13_116.9,116.9,sandy grey laminated crystalline limestone,,siltstone,sandy limestone,sandy limestone,sandy ls,sandy grey laminated crystalline limestone,-9.091796875,-15.48183632,33.69200585,1.428771333,17.92325764,0.970269938,-0.601144455,0.187445158,15.20118567,4.911121751,0.820711404,0.508752343,0.042300103,0.829492113,84.505
103,Wolverine,TLM,0.8,limestone,purple siltstone – grainstone ribbonite,,ribbonite,C13_117.2,117.2,sandy grainstone,,limestone-siltstone rhythmite,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-10.24787903,-15.84922314,250.7713748,14.90220249,32.80660919,14.6316717,39.69399597,3.12223611,19.6907843,0.742825709,9.182719741,0.872050168,2.630091978,1.102713835,84.94
104,Wolverine,TLM,2.0,siliciclastic,green siltstone,,,C13_117.6,117.6,sandy grainstone,,siltstone,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-10.08938789,-15.52910233,363.6335879,30.6523593,39.34190642,16.70206025,62.41981,4.341754177,23.10588356,0.908530973,14.19512798,0.647512616,2.443659089,1.309926839,85.51999999999998
