run_no,sample_simple,sample_name,member,type,loc,facies,features,thin_section,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa
1,CV86,C12_17.0_ICT_45,WMM,ict,boomerang_ict,grey crystalline limestone,,,-11.714916,-15.06578636,12.79752939,0.890584085,17.7396044,0.154736782,0.273598063,-0.002792157,3.896344089,4.768228969,0.224004271,0.546577484,0.013129354,0.33346
1,CV102,C12_17.0_ICT_74,WMM,ict,boomerang_ict,sandy grey crystalline limestone,,,-9.284214,-15.36845112,10.11970254,1.394691718,14.94473903,0.092140798,0.384688698,-0.031538642,5.80758881,1.237724219,0.634927286,0.454970503,0.003003541,0.102216701
1,CV89,C12_17.0_ICT_88,WMM,ict,boomerang_ict,grey crystalline limestone,,,-10.242149,-15.05359745,7.63254313,1.456988849,11.04014684,0.12540529,0.431767299,0.001365383,9.82121678,3.263284683,0.724706209,0.331202897,0.007011993,0.150032837
1,CV97,C12_17.0_ICT_95,WMM,ict,boomerang_ict,grey crystalline limestone,,,-9.6413898,-14.96531963,14.6907453,1.218204215,19.31390042,0.226152064,0.453078407,0.629112766,4.555055461,2.451532901,0.784234611,0.440650265,0.002688062,0.159339592
1,CV108,C12_5.6_ICT_28,WMM,ict,boomerang_ict,dolostone,,,-8.3032951,-11.52767944,20.83150554,0.792876287,463.6368185,0.242872255,1.998290888,-0.155867334,17.74497449,56.27152115,1.542092399,0.467003598,0.159576989,0.238892836
1,CV88,C12_5.6_ICT_29,WMM,ict,boomerang_ict,dolostone,,,-10.36665,-11.0442524,30.46383801,0.896629779,632.2697451,0.033868917,1.91694742,-0.078303182,22.00195195,8.02391812,3.388081989,0.31237298,0.002257887,0.147471462
1,CV96,C12_5.6_ICT_3,WMM,ict,boomerang_ict,dolostone,,,-9.6848888,-11.69941235,37.49455333,1.153021565,571.4478244,0.085904263,2.165391699,0.022324974,18.15305073,63.59297784,3.456992858,0.553421079,0.007399612,0.234368802
1,CV90,C12_5.6_ICT_33,WMM,ict,boomerang_ict,dolostone,,,-10.109318,-8.012815475,19.72599253,1.307463919,727.4951495,0.215055355,1.35169278,0.083702204,9.805081483,24.27004085,1.949815239,0.374571429,0.01745987,0.946423975
1,CV93,C12_5.6_ICT_4,WMM,ict,boomerang_ict,dolostone,,,-9.8856859,-11.0183115,25.6503727,1.189075983,587.854005,0.090723395,2.609409033,-0.205460485,18.98384746,55.51067395,4.366350595,0.286551658,0.006387224,0.095831457
1,CV107,C12_65.0_ICT_13,WMM,ict,boomerang_ict,pink laminated crystalline limestone,,,-8.6122036,-14.63952351,11.57527416,1.048440909,15.30507144,0.188561092,0.381853205,0.210730194,7.271564361,0.621258325,0.427965127,0.427373316,0.002961594,0.201003346
1,CV103,C12_67.0_ICT_14,WMM,ict,boomerang_ict,pink laminated crystalline limestone,,,-9.1829529,-14.87120914,7.955822177,0.744253299,15.20984547,0.094026549,0.234628122,0.025314047,8.330331922,0.171212625,0.198856876,0.431516586,0.004718325,0.249647455
1,CV105,C12_70.0_ICT_19,WMM,ict,boomerang_ict,pink crystalline limestone,,,-8.956892,-14.91298199,7.485640438,0.882244734,14.60944935,0.188624136,0.404878916,0.207042678,6.712927503,1.573144465,0.333494508,0.407698735,0.008404475,0.115084894
1,CV87,C12_8.6_ICT_15,WMM,ict,boomerang_ict,dolostone,,,-10.579409,-11.16019154,32.48397304,1.457933956,677.3495914,0.488768204,4.126974573,0.206447459,21.93593156,75.68834703,6.303905552,0.292794373,0.026589633,0.267511122
1,CV95,C12_8.6_ICT_17,WMM,ict,boomerang_ict,dolostone,,,-9.7602472,-11.87614632,24.76909834,2.066996102,607.3240053,0.789666006,4.041609716,0.097268875,19.83678413,89.21727876,6.719979986,0.279407436,0.019082939,0.271835519
1,CV98,C12_8.6_ICT_18,WMM,ict,boomerang_ict,dolostone,,,-9.5661716,-11.96961308,19.67006427,1.261595961,612.4060987,0.07890618,2.712453501,-0.023047125,19.83743552,30.89432004,4.208329319,0.261557786,0.019924373,0.126196559
1,CV92,C12_8.6_ICT_6,WMM,ict,boomerang_ict,dolostone,,,-9.9540386,-11.67818356,24.93799528,1.069807421,651.2969001,0.112924123,2.882863102,0.024355286,18.52843652,75.82527568,4.70177022,0.33486076,0.002320008,0.302723529
2,CV148,C13_108.8,TLM,section,wolverine_sec,grey laminated crystalline limestone,,,-12.59484482,-16.17363167,66.48167524,9.584863021,15.0111225,2.084677458,3.829234994,0.609068427,24.2763,3.627708162,0.983037555,0.803224377,0.474862371,0.203181546
1,CV-2,C13_111.5,TLM,section,wolverine_sec,sandy grainstone,,,-11.290352,-16.04961967,210.7654015,20.00905313,33.34295368,15.05880671,59.76799651,0.590821369,23.20845497,37.87543497,79.97081682,1.039982972,1.968709592,0.669501236
2,CV149,C13_111.8,TLM,section,wolverine_sec,sandy pink crystalline limestone,,,-12.4971714,-16.38692474,50.63387684,9.737223226,23.50951261,2.481114475,2.542905344,1.509397766,24.15257982,3.201859193,0.614288963,0.680553882,0.378523263,0.702936033
2,CV150,C13_112.1,TLM,section,wolverine_sec,sandy pink crystalline limestone,,,-12.16679192,-16.0504303,37.31615155,8.602311603,13.55433904,2.064032461,4.026636525,33.96965614,27.19077961,1.975197746,1.02131087,0.609044939,0.200659585,7.14226097
2,CV151,C13_112.6,TLM,section,wolverine_sec,sandy grey laminated crystalline limestone,,,-10.31417084,-15.05315685,235.0428453,13.92935607,30.75741517,16.24000316,22.85076025,3.803896453,21.05794193,1.364176163,5.166360399,1.933594824,3.55551269,1.034389169
2,CV152,C13_113.4,TLM,section,wolverine_sec,sandy grey laminated crystalline limestone,,,-11.9162178,-15.78307343,25.46326001,11.20140792,17.55208294,1.893194989,1.402080668,0.037129044,31.47392205,1.345701711,0.335777064,0.607269951,0.336399172,0.176174868
